Begin Bates num from SYNTHETIC_PROD_001,End Bates num from SYNTHETIC_PROD_001,Date,File Name,Email From,Email To,Email CC,Email BCC,Email Subject,Tag: Privilege - Redact,Tag: Privilege - Withhold,Tag: AC-WP,Tag: Attorney-Client,Tag: Synthetic Privacy
SYNEWPRV022-0000517,SYNEWPRV022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,2025-10-18,synthetic_document_00129.pdf,sender006@example.test,recipient001@example.test,copy016@example.test,blind009@example.test,Synthetic subject 00129,,Yes,Yes,,
NOT-A-BATES,SYNEWPRV022-0000522,2025-11-19,synthetic_document_00130.pdf,sender007@example.test,recipient002@example.test,copy017@example.test,blind010@example.test,Synthetic subject 00130,,,,Yes,Yes
SYNEWPRV022-0000527,SYNEWPRV022-0000525,2025-12-20,synthetic_document_00131.pdf,sender008@example.test,recipient003@example.test,copy018@example.test,blind011@example.test,Synthetic subject 00131,,,,,
SYNEWPRV022-0000529,SYNMISMATCH9999999,2025-01-21,synthetic_document_00132.pdf,sender009@example.test,recipient004@example.test,copy019@example.test,blind001@example.test,Synthetic subject 00132,Yes,,Yes,,
SYNEWPRV022-0000533,SYNEWPRV022-00005,2025-02-22,synthetic_document_00133.pdf,sender010@example.test,recipient005@example.test,copy001@example.test,blind002@example.test,Synthetic subject 00133,,Yes,,Yes,
SYNEWPRV022-0000537,SYNEWPRV022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,2025-03-23,synthetic_document_00134.pdf,sender011@example.test,recipient006@example.test,copy002@example.test,blind003@example.test,Synthetic subject 00134,,,,,
NOT-A-BATES,SYNEWPRV022-0000541,2025-04-24,synthetic_document_00135.pdf,sender012@example.test,recipient007@example.test,copy003@example.test,blind004@example.test,Synthetic subject 00135,,,Yes,,Yes
SYNEWPRV022-0000546,SYNEWPRV022-0000545,2025-05-25,synthetic_document_00136.pdf,sender013@example.test,recipient008@example.test,copy004@example.test,blind005@example.test,Synthetic subject 00136,Yes,,,Yes,
SYNEWPRV022-0000549,SYNMISMATCH9999999,2025-06-26,synthetic_document_00137.pdf,sender014@example.test,recipient009@example.test,copy005@example.test,blind006@example.test,Synthetic subject 00137,,Yes,,,
SYNEWPRV022-0000553,SYNEWPRV022-00005,2025-07-27,synthetic_document_00138.pdf,sender015@example.test,recipient010@example.test,copy006@example.test,blind007@example.test,Synthetic subject 00138,,,Yes,,
SYNEWPRV022-0000557,SYNEWPRV022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,2025-08-28,synthetic_document_00139.pdf,sender016@example.test,recipient011@example.test,copy007@example.test,blind008@example.test,Synthetic subject 00139,,,,Yes,
NOT-A-BATES,SYNEWPRV022-0000563,2025-09-01,synthetic_document_00140.pdf,sender017@example.test,recipient012@example.test,copy008@example.test,blind009@example.test,Synthetic subject 00140,Yes,,,,Yes
SYNEWPRV022-0000565,SYNEWPRV022-0000565,2025-10-02,synthetic_document_00141.pdf,sender018@example.test,recipient013@example.test,copy009@example.test,blind010@example.test,Synthetic subject 00141,,Yes,Yes,,
SYNEWPRV022-0000569,SYNMISMATCH9999999,2025-11-03,synthetic_document_00142.pdf,sender019@example.test,recipient014@example.test,copy010@example.test,blind011@example.test,Synthetic subject 00142,,,,Yes,
SYNEWPRV022-0000573,SYNEWPRV022-00005,2025-12-04,synthetic_document_00143.pdf,sender020@example.test,recipient015@example.test,copy011@example.test,blind001@example.test,Synthetic subject 00143,,,,,
SYNEWPRV022-0000577,SYNEWPRV022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,2025-01-05,synthetic_document_00144.pdf,sender021@example.test,recipient016@example.test,copy012@example.test,blind002@example.test,Synthetic subject 00144,Yes,,Yes,,
NOT-A-BATES,SYNEWPRV022-0000582,2025-02-06,synthetic_document_00145.pdf,sender022@example.test,recipient017@example.test,copy013@example.test,blind003@example.test,Synthetic subject 00145,,Yes,,Yes,Yes
SYNEWPRV022-0000587,SYNEWPRV022-0000585,2025-03-07,synthetic_document_00146.pdf,sender023@example.test,recipient018@example.test,copy014@example.test,blind004@example.test,Synthetic subject 00146,,,,,
SYNEWPRV022-0000589,SYNMISMATCH9999999,2025-04-08,synthetic_document_00147.pdf,sender024@example.test,recipient019@example.test,copy015@example.test,blind005@example.test,Synthetic subject 00147,,,Yes,,
SYNEWPRV022-0000593,SYNEWPRV022-00005,2025-05-09,synthetic_document_00148.pdf,sender025@example.test,recipient020@example.test,copy016@example.test,blind006@example.test,Synthetic subject 00148,Yes,,,Yes,
SYNEWPRV022-0000597,SYNEWPRV022-99999999999999999999999999999999999999999999999999999999999999999999999999999999,2025-06-10,synthetic_document_00149.pdf,sender026@example.test,recipient021@example.test,copy017@example.test,blind007@example.test,Synthetic subject 00149,,Yes,,,
